"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"Eurajoki";"Yhteensä";7
"2022";"Eurajoki";"0 vuotta";0
"2022";"Eurajoki";"1 vuotta";0
"2022";"Eurajoki";"2 vuotta";0
"2022";"Eurajoki";"3 vuotta";4
"2022";"Eurajoki";"4 vuotta";1
"2022";"Eurajoki";"5 vuotta";1
"2022";"Eurajoki";"6 vuotta";1
"2022";"Eurajoki";"7 vuotta ja yli";0
"2022";"Evijärvi";"Yhteensä";2
"2022";"Evijärvi";"0 vuotta";0
"2022";"Evijärvi";"1 vuotta";0
"2022";"Evijärvi";"2 vuotta";0
"2022";"Evijärvi";"3 vuotta";0
"2022";"Evijärvi";"4 vuotta";0
"2022";"Evijärvi";"5 vuotta";2
"2022";"Evijärvi";"6 vuotta";0
"2022";"Evijärvi";"7 vuotta ja yli";0
"2022";"Finström";"Yhteensä";0
"2022";"Finström";"0 vuotta";0
"2022";"Finström";"1 vuotta";0
"2022";"Finström";"2 vuotta";0
"2022";"Finström";"3 vuotta";0
"2022";"Finström";"4 vuotta";0
"2022";"Finström";"5 vuotta";0
"2022";"Finström";"6 vuotta";0
"2022";"Finström";"7 vuotta ja yli";0
"2022";"Forssa";"Yhteensä";53
"2022";"Forssa";"0 vuotta";0
"2022";"Forssa";"1 vuotta";1
"2022";"Forssa";"2 vuotta";7
"2022";"Forssa";"3 vuotta";11
"2022";"Forssa";"4 vuotta";11
"2022";"Forssa";"5 vuotta";13
"2022";"Forssa";"6 vuotta";10
"2022";"Forssa";"7 vuotta ja yli";0
"2022";"Föglö";"Yhteensä";0
"2022";"Föglö";"0 vuotta";0
"2022";"Föglö";"1 vuotta";0
"2022";"Föglö";"2 vuotta";0
"2022";"Föglö";"3 vuotta";0
"2022";"Föglö";"4 vuotta";0
"2022";"Föglö";"5 vuotta";0
"2022";"Föglö";"6 vuotta";0
"2022";"Föglö";"7 vuotta ja yli";0
"2022";"Geta";"Yhteensä";0
"2022";"Geta";"0 vuotta";0
"2022";"Geta";"1 vuotta";0
"2022";"Geta";"2 vuotta";0
"2022";"Geta";"3 vuotta";0
"2022";"Geta";"4 vuotta";0
"2022";"Geta";"5 vuotta";0
"2022";"Geta";"6 vuotta";0
"2022";"Geta";"7 vuotta ja yli";0
"2022";"Haapajärvi";"Yhteensä";4
"2022";"Haapajärvi";"0 vuotta";0
"2022";"Haapajärvi";"1 vuotta";0
"2022";"Haapajärvi";"2 vuotta";1
"2022";"Haapajärvi";"3 vuotta";1
"2022";"Haapajärvi";"4 vuotta";0
"2022";"Haapajärvi";"5 vuotta";2
"2022";"Haapajärvi";"6 vuotta";0
"2022";"Haapajärvi";"7 vuotta ja yli";0
"2022";"Haapavesi";"Yhteensä";6
"2022";"Haapavesi";"0 vuotta";0
