"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"Kaavi";"1 vuotta";0
"2022";"Kaavi";"2 vuotta";0
"2022";"Kaavi";"3 vuotta";0
"2022";"Kaavi";"4 vuotta";0
"2022";"Kaavi";"5 vuotta";0
"2022";"Kaavi";"6 vuotta";1
"2022";"Kaavi";"7 vuotta ja yli";0
"2022";"Kajaani";"Yhteensä";111
"2022";"Kajaani";"0 vuotta";1
"2022";"Kajaani";"1 vuotta";11
"2022";"Kajaani";"2 vuotta";19
"2022";"Kajaani";"3 vuotta";17
"2022";"Kajaani";"4 vuotta";26
"2022";"Kajaani";"5 vuotta";16
"2022";"Kajaani";"6 vuotta";18
"2022";"Kajaani";"7 vuotta ja yli";3
"2022";"Kalajoki";"Yhteensä";34
"2022";"Kalajoki";"0 vuotta";0
"2022";"Kalajoki";"1 vuotta";1
"2022";"Kalajoki";"2 vuotta";7
"2022";"Kalajoki";"3 vuotta";10
"2022";"Kalajoki";"4 vuotta";4
"2022";"Kalajoki";"5 vuotta";4
"2022";"Kalajoki";"6 vuotta";8
"2022";"Kalajoki";"7 vuotta ja yli";0
"2022";"Kangasala";"Yhteensä";54
"2022";"Kangasala";"0 vuotta";0
"2022";"Kangasala";"1 vuotta";4
"2022";"Kangasala";"2 vuotta";6
"2022";"Kangasala";"3 vuotta";6
"2022";"Kangasala";"4 vuotta";13
"2022";"Kangasala";"5 vuotta";10
"2022";"Kangasala";"6 vuotta";14
"2022";"Kangasala";"7 vuotta ja yli";1
"2022";"Kangasniemi";"Yhteensä";2
"2022";"Kangasniemi";"0 vuotta";0
"2022";"Kangasniemi";"1 vuotta";0
"2022";"Kangasniemi";"2 vuotta";0
"2022";"Kangasniemi";"3 vuotta";0
"2022";"Kangasniemi";"4 vuotta";1
"2022";"Kangasniemi";"5 vuotta";1
"2022";"Kangasniemi";"6 vuotta";0
"2022";"Kangasniemi";"7 vuotta ja yli";0
"2022";"Kankaanpää";"Yhteensä";43
"2022";"Kankaanpää";"0 vuotta";0
"2022";"Kankaanpää";"1 vuotta";6
"2022";"Kankaanpää";"2 vuotta";3
"2022";"Kankaanpää";"3 vuotta";5
"2022";"Kankaanpää";"4 vuotta";11
"2022";"Kankaanpää";"5 vuotta";10
"2022";"Kankaanpää";"6 vuotta";8
"2022";"Kankaanpää";"7 vuotta ja yli";0
"2022";"Kannonkoski";"Yhteensä";0
"2022";"Kannonkoski";"0 vuotta";0
"2022";"Kannonkoski";"1 vuotta";0
"2022";"Kannonkoski";"2 vuotta";0
"2022";"Kannonkoski";"3 vuotta";0
"2022";"Kannonkoski";"4 vuotta";0
"2022";"Kannonkoski";"5 vuotta";0
"2022";"Kannonkoski";"6 vuotta";0
"2022";"Kannonkoski";"7 vuotta ja yli";0
"2022";"Kannus";"Yhteensä";7
"2022";"Kannus";"0 vuotta";0
"2022";"Kannus";"1 vuotta";0
"2022";"Kannus";"2 vuotta";0
"2022";"Kannus";"3 vuotta";0
"2022";"Kannus";"4 vuotta";2
"2022";"Kannus";"5 vuotta";3
"2022";"Kannus";"6 vuotta";2
"2022";"Kannus";"7 vuotta ja yli";0
"2022";"Karijoki";"Yhteensä";1
"2022";"Karijoki";"0 vuotta";0
"2022";"Karijoki";"1 vuotta";0
"2022";"Karijoki";"2 vuotta";0
"2022";"Karijoki";"3 vuotta";0
"2022";"Karijoki";"4 vuotta";1
"2022";"Karijoki";"5 vuotta";0
"2022";"Karijoki";"6 vuotta";0
"2022";"Karijoki";"7 vuotta ja yli";0
"2022";"Karkkila";"Yhteensä";33
"2022";"Karkkila";"0 vuotta";0
"2022";"Karkkila";"1 vuotta";4
"2022";"Karkkila";"2 vuotta";4
"2022";"Karkkila";"3 vuotta";4
"2022";"Karkkila";"4 vuotta";7
"2022";"Karkkila";"5 vuotta";6
"2022";"Karkkila";"6 vuotta";7
"2022";"Karkkila";"7 vuotta ja yli";1
"2022";"Karstula";"Yhteensä";3
"2022";"Karstula";"0 vuotta";0
"2022";"Karstula";"1 vuotta";0
"2022";"Karstula";"2 vuotta";0
"2022";"Karstula";"3 vuotta";3
"2022";"Karstula";"4 vuotta";0
"2022";"Karstula";"5 vuotta";0
"2022";"Karstula";"6 vuotta";0
"2022";"Karstula";"7 vuotta ja yli";0
"2022";"Karvia";"Yhteensä";10
"2022";"Karvia";"0 vuotta";0
"2022";"Karvia";"1 vuotta";0
"2022";"Karvia";"2 vuotta";4
"2022";"Karvia";"3 vuotta";1
"2022";"Karvia";"4 vuotta";0
"2022";"Karvia";"5 vuotta";3
"2022";"Karvia";"6 vuotta";2
"2022";"Karvia";"7 vuotta ja yli";0
"2022";"Kaskinen";"Yhteensä";17
"2022";"Kaskinen";"0 vuotta";0
"2022";"Kaskinen";"1 vuotta";3
"2022";"Kaskinen";"2 vuotta";2
"2022";"Kaskinen";"3 vuotta";0
"2022";"Kaskinen";"4 vuotta";2
"2022";"Kaskinen";"5 vuotta";3
"2022";"Kaskinen";"6 vuotta";6
"2022";"Kaskinen";"7 vuotta ja yli";1
"2022";"Kauhajoki";"Yhteensä";18
"2022";"Kauhajoki";"0 vuotta";0
"2022";"Kauhajoki";"1 vuotta";1
"2022";"Kauhajoki";"2 vuotta";2
"2022";"Kauhajoki";"3 vuotta";6
"2022";"Kauhajoki";"4 vuotta";2
"2022";"Kauhajoki";"5 vuotta";6
"2022";"Kauhajoki";"6 vuotta";1
"2022";"Kauhajoki";"7 vuotta ja yli";0
"2022";"Kauhava";"Yhteensä";40
"2022";"Kauhava";"0 vuotta";0
"2022";"Kauhava";"1 vuotta";0
"2022";"Kauhava";"2 vuotta";4
"2022";"Kauhava";"3 vuotta";9
"2022";"Kauhava";"4 vuotta";9
"2022";"Kauhava";"5 vuotta";8
"2022";"Kauhava";"6 vuotta";10
"2022";"Kauhava";"7 vuotta ja yli";0
"2022";"Kauniainen";"Yhteensä";62
"2022";"Kauniainen";"0 vuotta";0
"2022";"Kauniainen";"1 vuotta";6
"2022";"Kauniainen";"2 vuotta";9
"2022";"Kauniainen";"3 vuotta";11
"2022";"Kauniainen";"4 vuotta";15
"2022";"Kauniainen";"5 vuotta";12
"2022";"Kauniainen";"6 vuotta";9
"2022";"Kauniainen";"7 vuotta ja yli";0
"2022";"Kaustinen";"Yhteensä";6
"2022";"Kaustinen";"0 vuotta";0
"2022";"Kaustinen";"1 vuotta";0
"2022";"Kaustinen";"2 vuotta";0
"2022";"Kaustinen";"3 vuotta";2
"2022";"Kaustinen";"4 vuotta";2
"2022";"Kaustinen";"5 vuotta";2
"2022";"Kaustinen";"6 vuotta";0
"2022";"Kaustinen";"7 vuotta ja yli";0
"2022";"Keitele";"Yhteensä";1
"2022";"Keitele";"0 vuotta";0
"2022";"Keitele";"1 vuotta";0
"2022";"Keitele";"2 vuotta";0
"2022";"Keitele";"3 vuotta";0
"2022";"Keitele";"4 vuotta";1
"2022";"Keitele";"5 vuotta";0
"2022";"Keitele";"6 vuotta";0
"2022";"Keitele";"7 vuotta ja yli";0
"2022";"Kemi";"Yhteensä";49
"2022";"Kemi";"0 vuotta";0
"2022";"Kemi";"1 vuotta";2
"2022";"Kemi";"2 vuotta";6
"2022";"Kemi";"3 vuotta";10
"2022";"Kemi";"4 vuotta";11
"2022";"Kemi";"5 vuotta";10
"2022";"Kemi";"6 vuotta";10
"2022";"Kemi";"7 vuotta ja yli";0
"2022";"Kemijärvi";"Yhteensä";5
"2022";"Kemijärvi";"0 vuotta";1
"2022";"Kemijärvi";"1 vuotta";0
"2022";"Kemijärvi";"2 vuotta";0
"2022";"Kemijärvi";"3 vuotta";1
"2022";"Kemijärvi";"4 vuotta";2
"2022";"Kemijärvi";"5 vuotta";0
"2022";"Kemijärvi";"6 vuotta";1
"2022";"Kemijärvi";"7 vuotta ja yli";0
"2022";"Keminmaa";"Yhteensä";2
"2022";"Keminmaa";"0 vuotta";0
"2022";"Keminmaa";"1 vuotta";1
"2022";"Keminmaa";"2 vuotta";0
"2022";"Keminmaa";"3 vuotta";0
"2022";"Keminmaa";"4 vuotta";0
"2022";"Keminmaa";"5 vuotta";1
"2022";"Keminmaa";"6 vuotta";0
"2022";"Keminmaa";"7 vuotta ja yli";0
"2022";"Kemiönsaari";"Yhteensä";4
"2022";"Kemiönsaari";"0 vuotta";0
"2022";"Kemiönsaari";"1 vuotta";0
"2022";"Kemiönsaari";"2 vuotta";1
"2022";"Kemiönsaari";"3 vuotta";1
"2022";"Kemiönsaari";"4 vuotta";1
"2022";"Kemiönsaari";"5 vuotta";1
"2022";"Kemiönsaari";"6 vuotta";0
"2022";"Kemiönsaari";"7 vuotta ja yli";0
"2022";"Kempele";"Yhteensä";9
"2022";"Kempele";"0 vuotta";0
"2022";"Kempele";"1 vuotta";1
"2022";"Kempele";"2 vuotta";1
"2022";"Kempele";"3 vuotta";1
"2022";"Kempele";"4 vuotta";0
"2022";"Kempele";"5 vuotta";2
"2022";"Kempele";"6 vuotta";1
"2022";"Kempele";"7 vuotta ja yli";3
"2022";"Kerava";"Yhteensä";417
"2022";"Kerava";"0 vuotta";3
"2022";"Kerava";"1 vuotta";25
"2022";"Kerava";"2 vuotta";76
"2022";"Kerava";"3 vuotta";67
"2022";"Kerava";"4 vuotta";78
"2022";"Kerava";"5 vuotta";86
"2022";"Kerava";"6 vuotta";81
"2022";"Kerava";"7 vuotta ja yli";1
"2022";"Keuruu";"Yhteensä";12
"2022";"Keuruu";"0 vuotta";0
"2022";"Keuruu";"1 vuotta";0
"2022";"Keuruu";"2 vuotta";3
"2022";"Keuruu";"3 vuotta";0
"2022";"Keuruu";"4 vuotta";4
"2022";"Keuruu";"5 vuotta";2
"2022";"Keuruu";"6 vuotta";2
"2022";"Keuruu";"7 vuotta ja yli";1
"2022";"Kihniö";"Yhteensä";0
"2022";"Kihniö";"0 vuotta";0
"2022";"Kihniö";"1 vuotta";0
"2022";"Kihniö";"2 vuotta";0
"2022";"Kihniö";"3 vuotta";0
"2022";"Kihniö";"4 vuotta";0
"2022";"Kihniö";"5 vuotta";0
"2022";"Kihniö";"6 vuotta";0
"2022";"Kihniö";"7 vuotta ja yli";0
"2022";"Kinnula";"Yhteensä";0
"2022";"Kinnula";"0 vuotta";0
"2022";"Kinnula";"1 vuotta";0
"2022";"Kinnula";"2 vuotta";0
"2022";"Kinnula";"3 vuotta";0
"2022";"Kinnula";"4 vuotta";0
"2022";"Kinnula";"5 vuotta";0
"2022";"Kinnula";"6 vuotta";0
"2022";"Kinnula";"7 vuotta ja yli";0
"2022";"Kirkkonummi";"Yhteensä";314
"2022";"Kirkkonummi";"0 vuotta";0
"2022";"Kirkkonummi";"1 vuotta";18
"2022";"Kirkkonummi";"2 vuotta";57
"2022";"Kirkkonummi";"3 vuotta";56
"2022";"Kirkkonummi";"4 vuotta";57
"2022";"Kirkkonummi";"5 vuotta";61
"2022";"Kirkkonummi";"6 vuotta";62
"2022";"Kirkkonummi";"7 vuotta ja yli";3
"2022";"Kitee";"Yhteensä";37
"2022";"Kitee";"0 vuotta";0
"2022";"Kitee";"1 vuotta";1
"2022";"Kitee";"2 vuotta";7
"2022";"Kitee";"3 vuotta";6
"2022";"Kitee";"4 vuotta";6
"2022";"Kitee";"5 vuotta";5
"2022";"Kitee";"6 vuotta";9
"2022";"Kitee";"7 vuotta ja yli";3
"2022";"Kittilä";"Yhteensä";12
"2022";"Kittilä";"0 vuotta";0
"2022";"Kittilä";"1 vuotta";2
"2022";"Kittilä";"2 vuotta";4
"2022";"Kittilä";"3 vuotta";1
"2022";"Kittilä";"4 vuotta";0
"2022";"Kittilä";"5 vuotta";4
"2022";"Kittilä";"6 vuotta";1
"2022";"Kittilä";"7 vuotta ja yli";0
"2022";"Kiuruvesi";"Yhteensä";3
"2022";"Kiuruvesi";"0 vuotta";0
"2022";"Kiuruvesi";"1 vuotta";0
"2022";"Kiuruvesi";"2 vuotta";0
"2022";"Kiuruvesi";"3 vuotta";0
"2022";"Kiuruvesi";"4 vuotta";2
"2022";"Kiuruvesi";"5 vuotta";1
"2022";"Kiuruvesi";"6 vuotta";0
"2022";"Kiuruvesi";"7 vuotta ja yli";0
"2022";"Kivijärvi";"Yhteensä";0
"2022";"Kivijärvi";"0 vuotta";0
"2022";"Kivijärvi";"1 vuotta";0
"2022";"Kivijärvi";"2 vuotta";0
"2022";"Kivijärvi";"3 vuotta";0
"2022";"Kivijärvi";"4 vuotta";0
"2022";"Kivijärvi";"5 vuotta";0
"2022";"Kivijärvi";"6 vuotta";0
"2022";"Kivijärvi";"7 vuotta ja yli";0
"2022";"Kokemäki";"Yhteensä";10
"2022";"Kokemäki";"0 vuotta";0
"2022";"Kokemäki";"1 vuotta";0
"2022";"Kokemäki";"2 vuotta";0
"2022";"Kokemäki";"3 vuotta";3
"2022";"Kokemäki";"4 vuotta";0
"2022";"Kokemäki";"5 vuotta";4
"2022";"Kokemäki";"6 vuotta";3
"2022";"Kokemäki";"7 vuotta ja yli";0
"2022";"Kokkola";"Yhteensä";114
"2022";"Kokkola";"0 vuotta";2
"2022";"Kokkola";"1 vuotta";9
"2022";"Kokkola";"2 vuotta";19
"2022";"Kokkola";"3 vuotta";18
"2022";"Kokkola";"4 vuotta";22
"2022";"Kokkola";"5 vuotta";18
"2022";"Kokkola";"6 vuotta";22
"2022";"Kokkola";"7 vuotta ja yli";4
"2022";"Kolari";"Yhteensä";4
"2022";"Kolari";"0 vuotta";0
"2022";"Kolari";"1 vuotta";0
"2022";"Kolari";"2 vuotta";1
"2022";"Kolari";"3 vuotta";2
"2022";"Kolari";"4 vuotta";0
"2022";"Kolari";"5 vuotta";0
"2022";"Kolari";"6 vuotta";0
"2022";"Kolari";"7 vuotta ja yli";1
"2022";"Konnevesi";"Yhteensä";1
"2022";"Konnevesi";"0 vuotta";0
"2022";"Konnevesi";"1 vuotta";0
"2022";"Konnevesi";"2 vuotta";0
"2022";"Konnevesi";"3 vuotta";0
"2022";"Konnevesi";"4 vuotta";0
"2022";"Konnevesi";"5 vuotta";1
"2022";"Konnevesi";"6 vuotta";0
"2022";"Konnevesi";"7 vuotta ja yli";0
"2022";"Kontiolahti";"Yhteensä";12
"2022";"Kontiolahti";"0 vuotta";0
"2022";"Kontiolahti";"1 vuotta";0
"2022";"Kontiolahti";"2 vuotta";1
"2022";"Kontiolahti";"3 vuotta";2
"2022";"Kontiolahti";"4 vuotta";3
"2022";"Kontiolahti";"5 vuotta";2
"2022";"Kontiolahti";"6 vuotta";4
"2022";"Kontiolahti";"7 vuotta ja yli";0
"2022";"Korsnäs";"Yhteensä";18
"2022";"Korsnäs";"0 vuotta";0
"2022";"Korsnäs";"1 vuotta";2
"2022";"Korsnäs";"2 vuotta";3
"2022";"Korsnäs";"3 vuotta";6
"2022";"Korsnäs";"4 vuotta";0
"2022";"Korsnäs";"5 vuotta";6
"2022";"Korsnäs";"6 vuotta";1
"2022";"Korsnäs";"7 vuotta ja yli";0
"2022";"Koski Tl";"Yhteensä";3
"2022";"Koski Tl";"0 vuotta";0
"2022";"Koski Tl";"1 vuotta";2
"2022";"Koski Tl";"2 vuotta";0
"2022";"Koski Tl";"3 vuotta";1
"2022";"Koski Tl";"4 vuotta";0
"2022";"Koski Tl";"5 vuotta";0
"2022";"Koski Tl";"6 vuotta";0
"2022";"Koski Tl";"7 vuotta ja yli";0
"2022";"Kotka";"Yhteensä";226
"2022";"Kotka";"0 vuotta";0
"2022";"Kotka";"1 vuotta";12
"2022";"Kotka";"2 vuotta";31
"2022";"Kotka";"3 vuotta";43
"2022";"Kotka";"4 vuotta";51
"2022";"Kotka";"5 vuotta";43
"2022";"Kotka";"6 vuotta";46
"2022";"Kotka";"7 vuotta ja yli";0
"2022";"Kouvola";"Yhteensä";167
"2022";"Kouvola";"0 vuotta";0
"2022";"Kouvola";"1 vuotta";17
"2022";"Kouvola";"2 vuotta";19
"2022";"Kouvola";"3 vuotta";22
"2022";"Kouvola";"4 vuotta";39
"2022";"Kouvola";"5 vuotta";32
"2022";"Kouvola";"6 vuotta";38
"2022";"Kouvola";"7 vuotta ja yli";0
"2022";"Kristiinankaupunki";"Yhteensä";34
"2022";"Kristiinankaupunki";"0 vuotta";0
"2022";"Kristiinankaupunki";"1 vuotta";4
"2022";"Kristiinankaupunki";"2 vuotta";7
"2022";"Kristiinankaupunki";"3 vuotta";2
"2022";"Kristiinankaupunki";"4 vuotta";4
"2022";"Kristiinankaupunki";"5 vuotta";6
"2022";"Kristiinankaupunki";"6 vuotta";4
"2022";"Kristiinankaupunki";"7 vuotta ja yli";7
"2022";"Kruunupyy";"Yhteensä";15
"2022";"Kruunupyy";"0 vuotta";0
"2022";"Kruunupyy";"1 vuotta";2
"2022";"Kruunupyy";"2 vuotta";1
"2022";"Kruunupyy";"3 vuotta";3
"2022";"Kruunupyy";"4 vuotta";2
"2022";"Kruunupyy";"5 vuotta";6
"2022";"Kruunupyy";"6 vuotta";1
"2022";"Kruunupyy";"7 vuotta ja yli";0
"2022";"Kuhmo";"Yhteensä";4
"2022";"Kuhmo";"0 vuotta";0
"2022";"Kuhmo";"1 vuotta";0
"2022";"Kuhmo";"2 vuotta";1
"2022";"Kuhmo";"3 vuotta";0
"2022";"Kuhmo";"4 vuotta";0
"2022";"Kuhmo";"5 vuotta";3
"2022";"Kuhmo";"6 vuotta";0
"2022";"Kuhmo";"7 vuotta ja yli";0
"2022";"Kuhmoinen";"Yhteensä";0
"2022";"Kuhmoinen";"0 vuotta";0
"2022";"Kuhmoinen";"1 vuotta";0
"2022";"Kuhmoinen";"2 vuotta";0
"2022";"Kuhmoinen";"3 vuotta";0
"2022";"Kuhmoinen";"4 vuotta";0
"2022";"Kuhmoinen";"5 vuotta";0
"2022";"Kuhmoinen";"6 vuotta";0
"2022";"Kuhmoinen";"7 vuotta ja yli";0
"2022";"Kumlinge";"Yhteensä";0
"2022";"Kumlinge";"0 vuotta";0
"2022";"Kumlinge";"1 vuotta";0
"2022";"Kumlinge";"2 vuotta";0
"2022";"Kumlinge";"3 vuotta";0
"2022";"Kumlinge";"4 vuotta";0
"2022";"Kumlinge";"5 vuotta";0
"2022";"Kumlinge";"6 vuotta";0
"2022";"Kumlinge";"7 vuotta ja yli";0
"2022";"Kuopio";"Yhteensä";320
"2022";"Kuopio";"0 vuotta";2
"2022";"Kuopio";"1 vuotta";31
"2022";"Kuopio";"2 vuotta";47
"2022";"Kuopio";"3 vuotta";56
"2022";"Kuopio";"4 vuotta";64
"2022";"Kuopio";"5 vuotta";69
"2022";"Kuopio";"6 vuotta";51
"2022";"Kuopio";"7 vuotta ja yli";0
"2022";"Kuortane";"Yhteensä";4
"2022";"Kuortane";"0 vuotta";0
"2022";"Kuortane";"1 vuotta";1
"2022";"Kuortane";"2 vuotta";0
"2022";"Kuortane";"3 vuotta";1
"2022";"Kuortane";"4 vuotta";2
"2022";"Kuortane";"5 vuotta";0
"2022";"Kuortane";"6 vuotta";0
"2022";"Kuortane";"7 vuotta ja yli";0
"2022";"Kurikka";"Yhteensä";27
"2022";"Kurikka";"0 vuotta";0
"2022";"Kurikka";"1 vuotta";2
"2022";"Kurikka";"2 vuotta";2
"2022";"Kurikka";"3 vuotta";6
"2022";"Kurikka";"4 vuotta";8
"2022";"Kurikka";"5 vuotta";6
"2022";"Kurikka";"6 vuotta";3
"2022";"Kurikka";"7 vuotta ja yli";0
"2022";"Kustavi";"Yhteensä";0
"2022";"Kustavi";"0 vuotta";0
"2022";"Kustavi";"1 vuotta";0
"2022";"Kustavi";"2 vuotta";0
"2022";"Kustavi";"3 vuotta";0
"2022";"Kustavi";"4 vuotta";0
"2022";"Kustavi";"5 vuotta";0
"2022";"Kustavi";"6 vuotta";0
"2022";"Kustavi";"7 vuotta ja yli";0
"2022";"Kuusamo";"Yhteensä";35
"2022";"Kuusamo";"0 vuotta";0
"2022";"Kuusamo";"1 vuotta";3
"2022";"Kuusamo";"2 vuotta";5
"2022";"Kuusamo";"3 vuotta";4
"2022";"Kuusamo";"4 vuotta";5
"2022";"Kuusamo";"5 vuotta";7
"2022";"Kuusamo";"6 vuotta";11
"2022";"Kuusamo";"7 vuotta ja yli";0
"2022";"Kyyjärvi";"Yhteensä";1
"2022";"Kyyjärvi";"0 vuotta";0
"2022";"Kyyjärvi";"1 vuotta";0
"2022";"Kyyjärvi";"2 vuotta";0
"2022";"Kyyjärvi";"3 vuotta";0
"2022";"Kyyjärvi";"4 vuotta";1
"2022";"Kyyjärvi";"5 vuotta";0
"2022";"Kyyjärvi";"6 vuotta";0
"2022";"Kyyjärvi";"7 vuotta ja yli";0
"2022";"Kärkölä";"Yhteensä";3
"2022";"Kärkölä";"0 vuotta";0
"2022";"Kärkölä";"1 vuotta";1
"2022";"Kärkölä";"2 vuotta";0
"2022";"Kärkölä";"3 vuotta";1
"2022";"Kärkölä";"4 vuotta";1
"2022";"Kärkölä";"5 vuotta";0
"2022";"Kärkölä";"6 vuotta";0
"2022";"Kärkölä";"7 vuotta ja yli";0
"2022";"Kärsämäki";"Yhteensä";2
"2022";"Kärsämäki";"0 vuotta";0
"2022";"Kärsämäki";"1 vuotta";0
"2022";"Kärsämäki";"2 vuotta";0
"2022";"Kärsämäki";"3 vuotta";1
"2022";"Kärsämäki";"4 vuotta";0
"2022";"Kärsämäki";"5 vuotta";0
"2022";"Kärsämäki";"6 vuotta";1
"2022";"Kärsämäki";"7 vuotta ja yli";0
"2022";"Kökar";"Yhteensä";0
"2022";"Kökar";"0 vuotta";0
"2022";"Kökar";"1 vuotta";0
"2022";"Kökar";"2 vuotta";0
"2022";"Kökar";"3 vuotta";0
"2022";"Kökar";"4 vuotta";0
"2022";"Kökar";"5 vuotta";0
"2022";"Kökar";"6 vuotta";0
"2022";"Kökar";"7 vuotta ja yli";0
"2022";"Lahti";"Yhteensä";536
"2022";"Lahti";"0 vuotta";3
"2022";"Lahti";"1 vuotta";38
"2022";"Lahti";"2 vuotta";63
"2022";"Lahti";"3 vuotta";92
"2022";"Lahti";"4 vuotta";101
"2022";"Lahti";"5 vuotta";115
"2022";"Lahti";"6 vuotta";122
"2022";"Lahti";"7 vuotta ja yli";2
"2022";"Laihia";"Yhteensä";3
"2022";"Laihia";"0 vuotta";0
"2022";"Laihia";"1 vuotta";0
"2022";"Laihia";"2 vuotta";0
"2022";"Laihia";"3 vuotta";0
"2022";"Laihia";"4 vuotta";1
"2022";"Laihia";"5 vuotta";2
"2022";"Laihia";"6 vuotta";0
"2022";"Laihia";"7 vuotta ja yli";0
"2022";"Laitila";"Yhteensä";54
"2022";"Laitila";"0 vuotta";1
"2022";"Laitila";"1 vuotta";11
"2022";"Laitila";"2 vuotta";8
"2022";"Laitila";"3 vuotta";6
"2022";"Laitila";"4 vuotta";10
"2022";"Laitila";"5 vuotta";13
"2022";"Laitila";"6 vuotta";5
"2022";"Laitila";"7 vuotta ja yli";0
"2022";"Lapinjärvi";"Yhteensä";10
"2022";"Lapinjärvi";"0 vuotta";0
"2022";"Lapinjärvi";"1 vuotta";1
"2022";"Lapinjärvi";"2 vuotta";1
"2022";"Lapinjärvi";"3 vuotta";3
"2022";"Lapinjärvi";"4 vuotta";3
"2022";"Lapinjärvi";"5 vuotta";1
"2022";"Lapinjärvi";"6 vuotta";1
"2022";"Lapinjärvi";"7 vuotta ja yli";0
"2022";"Lapinlahti";"Yhteensä";9
"2022";"Lapinlahti";"0 vuotta";0
"2022";"Lapinlahti";"1 vuotta";1
"2022";"Lapinlahti";"2 vuotta";0
"2022";"Lapinlahti";"3 vuotta";1
"2022";"Lapinlahti";"4 vuotta";3
"2022";"Lapinlahti";"5 vuotta";3
"2022";"Lapinlahti";"6 vuotta";1
"2022";"Lapinlahti";"7 vuotta ja yli";0
"2022";"Lappajärvi";"Yhteensä";3
"2022";"Lappajärvi";"0 vuotta";0
"2022";"Lappajärvi";"1 vuotta";0
"2022";"Lappajärvi";"2 vuotta";2
"2022";"Lappajärvi";"3 vuotta";0
"2022";"Lappajärvi";"4 vuotta";0
"2022";"Lappajärvi";"5 vuotta";1
"2022";"Lappajärvi";"6 vuotta";0
"2022";"Lappajärvi";"7 vuotta ja yli";0
"2022";"Lappeenranta";"Yhteensä";239
"2022";"Lappeenranta";"0 vuotta";1
"2022";"Lappeenranta";"1 vuotta";11
"2022";"Lappeenranta";"2 vuotta";39
"2022";"Lappeenranta";"3 vuotta";51
"2022";"Lappeenranta";"4 vuotta";41
"2022";"Lappeenranta";"5 vuotta";52
"2022";"Lappeenranta";"6 vuotta";44
"2022";"Lappeenranta";"7 vuotta ja yli";0
"2022";"Lapua";"Yhteensä";35
"2022";"Lapua";"0 vuotta";0
"2022";"Lapua";"1 vuotta";7
"2022";"Lapua";"2 vuotta";3
"2022";"Lapua";"3 vuotta";5
"2022";"Lapua";"4 vuotta";8
"2022";"Lapua";"5 vuotta";5
"2022";"Lapua";"6 vuotta";5
"2022";"Lapua";"7 vuotta ja yli";2
"2022";"Laukaa";"Yhteensä";12
"2022";"Laukaa";"0 vuotta";0
"2022";"Laukaa";"1 vuotta";1
"2022";"Laukaa";"2 vuotta";0
"2022";"Laukaa";"3 vuotta";1
"2022";"Laukaa";"4 vuotta";2
"2022";"Laukaa";"5 vuotta";5
"2022";"Laukaa";"6 vuotta";3
"2022";"Laukaa";"7 vuotta ja yli";0
"2022";"Lemi";"Yhteensä";1
"2022";"Lemi";"0 vuotta";0
"2022";"Lemi";"1 vuotta";1
"2022";"Lemi";"2 vuotta";0
"2022";"Lemi";"3 vuotta";0
"2022";"Lemi";"4 vuotta";0
"2022";"Lemi";"5 vuotta";0
"2022";"Lemi";"6 vuotta";0
"2022";"Lemi";"7 vuotta ja yli";0
"2022";"Lemland";"Yhteensä";0
"2022";"Lemland";"0 vuotta";0
"2022";"Lemland";"1 vuotta";0
"2022";"Lemland";"2 vuotta";0
"2022";"Lemland";"3 vuotta";0
"2022";"Lemland";"4 vuotta";0
"2022";"Lemland";"5 vuotta";0
"2022";"Lemland";"6 vuotta";0
"2022";"Lemland";"7 vuotta ja yli";0
"2022";"Lempäälä";"Yhteensä";30
"2022";"Lempäälä";"0 vuotta";0
"2022";"Lempäälä";"1 vuotta";2
"2022";"Lempäälä";"2 vuotta";5
"2022";"Lempäälä";"3 vuotta";5
"2022";"Lempäälä";"4 vuotta";9
"2022";"Lempäälä";"5 vuotta";9
"2022";"Lempäälä";"6 vuotta";0
"2022";"Lempäälä";"7 vuotta ja yli";0
"2022";"Leppävirta";"Yhteensä";10
"2022";"Leppävirta";"0 vuotta";0
"2022";"Leppävirta";"1 vuotta";1
"2022";"Leppävirta";"2 vuotta";1
"2022";"Leppävirta";"3 vuotta";1
"2022";"Leppävirta";"4 vuotta";3
"2022";"Leppävirta";"5 vuotta";1
"2022";"Leppävirta";"6 vuotta";2
"2022";"Leppävirta";"7 vuotta ja yli";1
"2022";"Lestijärvi";"Yhteensä";1
"2022";"Lestijärvi";"0 vuotta";0
"2022";"Lestijärvi";"1 vuotta";0
"2022";"Lestijärvi";"2 vuotta";0
"2022";"Lestijärvi";"3 vuotta";0
"2022";"Lestijärvi";"4 vuotta";0
"2022";"Lestijärvi";"5 vuotta";1
"2022";"Lestijärvi";"6 vuotta";0
"2022";"Lestijärvi";"7 vuotta ja yli";0
"2022";"Lieksa";"Yhteensä";22
"2022";"Lieksa";"0 vuotta";0
"2022";"Lieksa";"1 vuotta";3
"2022";"Lieksa";"2 vuotta";4
"2022";"Lieksa";"3 vuotta";2
"2022";"Lieksa";"4 vuotta";2
"2022";"Lieksa";"5 vuotta";2
"2022";"Lieksa";"6 vuotta";8
